Genero,Especie,Muestra,Stem_length,Stem_diameter_cm,Microscopio,Aumento,Rayitas_dv,Diametro_de_vaso,Aumento,Rayitas_gpv,Grosor_pared_vaso,Rayitas_diam_fibra,Diametro_Fibras,Rayitas_gpf,Grosor_pared_fibras,Rayitas_dp,Diametro_parenquima
Euphorbia,calcarata,939,,,,100x,60,48,100x,4,1.6,16,,1,0.8,29,23.2
Euphorbia,calcarata,939,,,,100x,90,72,100x,3,1.6,10,,1,0.8,35,28
Euphorbia,calcarata,939,,,,100x,50,40,100x,2,1.6,10,,1,0.8,29,23.2
Euphorbia,calcarata,939,,,,100x,100,80,100x,2,1.6,14,,2,1.6,40,32
Euphorbia,calcarata,939,,,,100x,70,56,100x,2,1.6,15,,1,0.8,20,16
Euphorbia,calcarata,939,,,,100x,47,37.6,100x,2,1.6,15,,1,0.8,27,21.6
Euphorbia,calcarata,939,,,,100x,90,72,100x,4,1.6,13,,1,0.8,25,20
Euphorbia,calcarata,939,,,,100x,65,52,100x,3,1.6,20,,2,1.6,22,17.6
Euphorbia,calcarata,939,,,,100x,44,35.2,100x,4,1.6,22,,1,0.8,34,27.2
Euphorbia,calcarata,939,,,,40x,45,90,100x,4,1.6,12,,1,0.8,22,17.6
Euphorbia,calcarata,939,,,,100x,75,60,100x,2,1.6,14,,1,0.8,27,21.6
Euphorbia,calcarata,939,,,,100x,80,64,100x,2,1.6,12,,1,0.8,25,20
Euphorbia,calcarata,939,,,,100x,77,61.6,100x,3,1.6,15,,1,0.8,26,20.8
Euphorbia,calcarata,939,,,,100x,65,52,100x,3,1.6,20,,1,0.8,22,17.6
Euphorbia,calcarata,939,,,,100x,80,64,100x,3,1.6,14,,2,1.6,25,20
Euphorbia,calcarata,939,,,,100x,85,68,100x,3,1.6,19,,2,1.6,18,14.4
Euphorbia,calcarata,939,,,,100x,90,72,100x,7,1.6,17,,2,1.6,27,21.6
Euphorbia,calcarata,939,,,,100x,45,36,100x,3,1.6,19,,2,1.6,22,17.6
Euphorbia,calcarata,939,,,,100x,87,69.6,100x,4,1.6,16,,2,1.6,20,16
